id;valor;data;posto
6106903;6.0;2025-06-17;2
6106670;0.0;2025-06-16;2
6106669;0.0;2025-06-15;2
6105294;9.0;2025-06-14;2
6104970;0.0;2025-06-13;2
6104333;5.0;2025-06-12;2
6103787;8.0;2025-06-11;2
6103284;0.0;2025-06-10;2
6102793;4.0;2025-06-09;2
6102259;0.0;2025-06-08;2
6101872;15.0;2025-06-07;2
6101744;0.0;2025-06-06;2
6101281;0.0;2025-06-05;2
6100561;3.0;2025-06-04;2
6100560;0.0;2025-06-03;2
6099113;5.0;2025-06-02;2
6099112;0.0;2025-06-01;2
6099114;0.0;2025-05-31;2
6098208;0.0;2025-05-30;2
6098207;0.0;2025-05-29;2
6096656;0.0;2025-05-28;2
6096480;0.0;2025-05-27;2
6095371;5.0;2025-05-26;2
6094916;0.0;2025-05-25;2
6094596;0.0;2025-05-24;2
6094304;0.0;2025-05-23;2
6094303;0.0;2025-05-22;2
6092053;25.0;2025-05-21;2
6092052;0.0;2025-05-20;2
6092051;0.0;2025-05-19;2
6090375;18.0;2025-05-18;2
6090252;2.0;2025-05-17;2
6089742;10.0;2025-05-16;2
6089741;0.0;2025-05-15;2
6089740;0.0;2025-05-14;2
6088093;3.0;2025-05-13;2
6087460;5.0;2025-05-12;2
6087074;32.0;2025-05-11;2
6086650;35.0;2025-05-10;2
6086012;26.0;2025-05-09;2
6085749;0.0;2025-05-08;2
6084599;12.1;2025-05-07;2
6083943;0.0;2025-05-06;2
6083942;0.0;2025-05-05;2
6083941;0.0;2025-05-04;2
6083940;0.0;2025-05-03;2
6082203;0.0;2025-05-02;2
6082202;0.0;2025-05-01;2
6081821;0.0;2025-04-30;2
6080783;12.0;2025-04-29;2
6080577;4.0;2025-04-28;2
6080576;0.0;2025-04-27;2
6079794;1.8;2025-04-26;2
6079224;6.5;2025-04-25;2
6078921;0.0;2025-04-24;2
6077888;10.8;2025-04-23;2
6076514;6.6;2025-04-22;2
6075496;12.6;2025-04-21;2
6074926;5.2;2025-04-20;2
6074679;55.0;2025-04-19;2
6074267;7.8;2025-04-18;2
6074266;0.0;2025-04-17;2
6074265;0.0;2025-04-16;2
6073533;0.0;2025-04-15;2
6072953;11.0;2025-04-14;2
6072952;0.0;2025-04-13;2
6072951;0.0;2025-04-12;2
6071570;16.0;2025-04-11;2
6070813;34.0;2025-04-10;2
6070335;0.0;2025-04-09;2
6070091;0.0;2025-04-08;2
6069295;26.6;2025-04-07;2
6069294;0.0;2025-04-06;2
6069293;0.0;2025-04-05;2
6067619;16.0;2025-04-04;2
6067618;0.0;2025-04-03;2
6066502;4.0;2025-04-02;2
6065811;5.0;2025-04-01;2
6065131;10.0;2025-03-31;2
6064993;0.0;2025-03-30;2
6064656;3.0;2025-03-29;2
6063716;5.0;2025-03-28;2
6063071;47.0;2025-03-27;2
6062708;0.0;2025-03-26;2
6062116;3.0;2025-03-25;2
6061901;0.0;2025-03-24;2
6061900;0.0;2025-03-23;2
6061899;0.0;2025-03-22;2
6060720;0.0;2025-03-21;2
6059863;7.0;2025-03-20;2
6059652;8.0;2025-03-19;2
6059390;0.0;2025-03-18;2
6058586;5.0;2025-03-17;2
6057532;15.0;2025-03-16;2
6057204;45.0;2025-03-15;2
6056710;18.0;2025-03-14;2
6056165;42.0;2025-03-13;2
6055799;20.0;2025-03-12;2
6055092;2.0;2025-03-11;2
6054679;26.0;2025-03-10;2
6053803;69.0;2025-03-09;2
6053506;28.0;2025-03-08;2
6052799;23.0;2025-03-07;2
6052142;4.0;2025-03-06;2
6051866;6.0;2025-03-05;2
6051530;39.0;2025-03-04;2
6051529;0.0;2025-03-03;2
6050647;33.0;2025-03-02;2
6050658;0.0;2025-03-01;2
6049023;28.0;2025-02-28;2
6048841;0.0;2025-02-27;2
6047935;35.0;2025-02-26;2
6047126;15.0;2025-02-25;2
6047125;0.0;2025-02-24;2
6047124;0.0;2025-02-23;2
6046022;4.0;2025-02-22;2
6045638;13.0;2025-02-21;2
6045186;25.0;2025-02-20;2
6044627;13.0;2025-02-19;2
6044270;0.0;2025-02-18;2
6043239;0.0;2025-02-17;2
6042443;0.0;2025-02-16;2
6042145;4.0;2025-02-15;2
6041780;72.0;2025-02-14;2
6041267;28.0;2025-02-13;2
6040463;32.0;2025-02-12;2
6040252;0.0;2025-02-11;2
6039289;15.0;2025-02-10;2
6039087;8.0;2025-02-09;2
6039086;0.0;2025-02-08;2
6038177;4.0;2025-02-07;2
6037451;5.0;2025-02-06;2
6036958;0.0;2025-02-05;2
6036959;0.0;2025-02-04;2
6035928;0.0;2025-02-03;2
6035117;6.0;2025-02-02;2
6034867;0.0;2025-02-01;2
6034076;5.0;2025-01-31;2
6033994;0.0;2025-01-30;2
6033276;3.0;2025-01-29;2
6033118;0.0;2025-01-28;2
6032606;0.0;2025-01-27;2
6031575;7.0;2025-01-26;2
6031241;65.0;2025-01-25;2
6031132;0.0;2025-01-24;2
6030642;0.0;2025-01-23;2
6029797;8.0;2025-01-22;2
6029486;0.0;2025-01-21;2
6028317;46.0;2025-01-20;2
6028316;0.0;2025-01-19;2
6028315;0.0;2025-01-18;2
6027234;0.0;2025-01-17;2
6026534;45.0;2025-01-16;2
6024509;192.0;2025-01-15;2
6023481;32.0;2025-01-14;2
6022701;0.0;2025-01-13;2
6022700;0.0;2025-01-12;2
6021239;0.0;2025-01-11;2
6020853;0.0;2025-01-10;2
6020852;0.0;2025-01-09;2
6020211;0.0;2025-01-08;2
6019976;0.0;2025-01-07;2
6018503;0.0;2025-01-06;2
6018502;0.0;2025-01-05;2
6018501;0.0;2025-01-04;2
6017575;0.0;2025-01-03;2
6015327;0.0;2025-01-02;2
6015326;0.0;2025-01-01;2
